Name,Lat,Temp,Humidity,Cloudiness,Wind Speed
Te Anau,-45.41,41.63,86.0,100.0,4.61
Guasdualito,7.24,84.2,74.0,75.0,4.7
,,,,,
Butaritari,3.07,84.65,74.0,68.0,11.61
Puerto Ayora,-0.74,75.06,69.0,20.0,16.11
Cherskiy,68.75,58.19,62.0,100.0,3.78
Hobart,-42.88,44.1,75.0,20.0,8.05
Denpasar,-8.65,77.0,88.0,40.0,5.82
,,,,,
Arraial do Cabo,-22.97,70.66,64.0,75.0,13.87
,,,,,
Bluff,-23.58,57.47,85.0,4.0,3.49
Mar del Plata,-46.43,47.03,50.0,0.0,12.73
Flinders,-34.58,53.73,100.0,90.0,5.82
Saint George,39.45,90.05,27.0,20.0,8.05
Mayo,63.59,33.8,86.0,20.0,2.39
Mataura,-46.19,45.0,97.0,100.0,1.99
Awbari,26.59,97.07,15.0,100.0,7.72
Punta Arenas,-53.16,46.04,70.0,0.0,13.87
Vilyuysk,63.75,54.05,77.0,1.0,3.24
,,,,,
Narsaq,60.91,57.2,30.0,0.0,9.17
,,,,,
Tezu,27.93,81.23,64.0,11.0,3.56
Adre,13.47,79.25,66.0,73.0,8.28
Tuktoyaktuk,69.44,46.4,87.0,90.0,12.75
Khatanga,71.98,51.53,90.0,10.0,6.15
Namibe,-15.19,71.6,73.0,75.0,12.75
Tagusao,9.19,81.95,80.0,100.0,9.22
Soyo,-6.13,77.0,73.0,75.0,8.01
Ushuaia,-54.81,42.8,56.0,0.0,2.53
,,,,,
Aras,42.56,79.52,23.0,20.0,12.75
Hibbing,47.43,66.94,68.0,90.0,14.99
Vaini,15.34,71.6,88.0,40.0,4.7
Yellowknife,62.45,51.85,81.0,75.0,6.93
,,,,,
Kapaa,22.08,78.58,74.0,90.0,14.99
Rikitea,-23.12,69.53,63.0,27.0,13.02
Vernon,50.27,59.58,87.0,75.0,3.36
Gladstone,-23.84,59.0,87.0,0.0,2.01
Iqaluit,63.75,50.43,61.0,75.0,11.41
Cape Town,-33.93,58.82,93.0,90.0,4.7
Omboue,-1.57,74.75,87.0,84.0,11.68
Banyumas,-7.52,72.59,84.0,99.0,3.85
Albany,42.65,69.3,53.0,75.0,10.29
,,,,,
Bichura,50.59,50.27,93.0,100.0,2.33
Hermanus,-34.42,55.54,98.0,100.0,7.0
Ocos,14.51,87.8,62.0,20.0,4.7
Cockburn Town,21.46,83.03,81.0,100.0,18.77
Cairns,-16.92,60.67,82.0,40.0,8.05
Santa Maria,-16.02,83.5,37.0,0.0,9.17
Georgetown,6.8,86.0,74.0,40.0,9.17
Poum,41.28,84.2,39.0,20.0,2.24
Omsukchan,62.53,46.31,92.0,85.0,7.16
Kodiak,39.95,65.07,93.0,90.0,10.29
